datetime,open,high,low,close,volume
2026-04-22 02:00:00,4752.205,4758.495,4749.728,4755.525,60
2026-04-22 03:00:00,4755.485,4764.795,4752.705,4757.965,60
2026-04-22 04:00:00,4757.935,4759.395,4751.868,4754.355,60
2026-04-22 05:00:00,4754.375,4771.935,4751.965,4767.345,60
2026-04-22 06:00:00,4767.335,4767.685,4758.595,4767.555,60
2026-04-22 07:00:00,4767.525,4772.165,4759.345,4760.245,60
2026-04-22 08:00:00,4760.315,4762.065,4751.645,4756.815,60
2026-04-22 09:00:00,4756.845,4762.285,4752.315,4755.065,60
2026-04-22 10:00:00,4755.235,4760.125,4745.585,4759.045,60
2026-04-22 11:00:00,4759.075,4760.625,4747.655,4750.115,60
2026-04-22 12:00:00,4750.155,4759.495,4742.655,4744.035,60
2026-04-22 13:00:00,4744.065,4760.825,4736.195,4752.735,60
2026-04-22 14:00:00,4752.685,4757.325,4729.835,4735.825,60
2026-04-22 15:00:00,4735.885,4740.045,4724.815,4727.415,60
2026-04-22 16:00:00,4727.395,4734.765,4723.685,4728.495,60
2026-04-22 17:00:00,4728.495,4739.285,4728.385,4736.915,60
2026-04-22 18:00:00,4736.935,4749.565,4729.725,4741.525,60
2026-04-22 19:00:00,4741.545,4745.265,4736.685,4739.985,60
2026-04-22 20:00:00,4740.025,4740.525,4734.265,4739.355,60
2026-04-22 22:00:00,4739.945,4746.245,4725.205,4725.638,60
2026-04-22 23:00:00,4725.638,4729.715,4723.008,4727.525,60
2026-04-23 00:00:00,4727.505,4753.585,4693.638,4747.815,60
2026-04-23 01:00:00,4747.485,4749.675,4722.255,4723.045,60
2026-04-23 02:00:00,4723.165,4724.535,4698.145,4698.745,60
2026-04-23 03:00:00,4698.695,4708.455,4697.985,4703.705,60
2026-04-23 04:00:00,4703.705,4706.945,4698.455,4704.115,60
2026-04-23 05:00:00,4704.155,4715.225,4692.078,4713.095,60
2026-04-23 06:00:00,4713.215,4721.035,4708.305,4712.665,60
2026-04-23 07:00:00,4712.615,4720.345,4702.945,4719.045,60
2026-04-23 08:00:00,4718.965,4724.695,4701.395,4703.155,60
2026-04-23 09:00:00,4703.105,4703.515,4694.515,4697.395,60
2026-04-23 10:00:00,4697.125,4701.525,4684.095,4696.425,60
2026-04-23 11:00:00,4696.465,4720.825,4695.285,4720.515,60
2026-04-23 12:00:00,4720.585,4742.985,4719.525,4739.905,60
2026-04-23 13:00:00,4740.005,4741.095,4723.675,4724.225,60
